Label	Text
1	Urgent action required verify your account immediately We detected unusual sign-in activity on your account. Your password has expired and your account will be suspended. Please confirm your identity within 24 hours by clicking the link below.
1	Your PayPal account has been limited We noticed some unusual activity. To restore full access you must verify your billing information now. Failure to respond within 24 hours will result in permanent closure.
1	Security alert unauthorized login attempt Someone tried to access your account from a new device in another country. Confirm your identity immediately or your account will be locked.
1	Your package could not be delivered Our courier attempted delivery but the address was incomplete. Pay the outstanding customs fee of 2.99 to reschedule delivery within 48 hours.
1	Congratulations you have won a prize You are the lucky winner of our monthly draw. Click here immediately to claim your reward before it expires. Provide your bank details to receive the transfer.
1	Action needed your mailbox is full Your email storage has exceeded the limit and incoming messages are being rejected. Verify your account credentials now to restore service.
1	Invoice overdue final notice Your payment is overdue and legal action will follow. Download the attached invoice and settle the balance immediately to avoid penalties.
1	Your Netflix membership is on hold We could not process your payment. Update your billing details within 24 hours or your membership will be cancelled permanently.
1	Microsoft account unusual sign-in activity We detected a sign-in attempt from an unrecognised device. If this was not you please verify your password immediately using the secure link.
1	Bank account suspended immediate verification required Due to suspicious transactions your online banking has been temporarily suspended. Confirm your identity and card number to reactivate.
1	You have a pending tax refund Our records show you are eligible for a refund of 480. Submit your bank account information through the secure form to receive payment within 3 days.
1	Password expiry notice Your corporate password expires today. Click the link to keep your current password and avoid losing access to email and files.
1	Your Apple ID has been locked Your account has been locked due to too many failed sign-in attempts. Verify your identity now to unlock your Apple ID and avoid deletion.
1	Confirm your identity to avoid suspension We are updating our security systems and require all users to reconfirm personal details. Accounts not verified within 24 hours will be suspended.
1	Important document shared with you A confidential document has been shared with you. Sign in with your email credentials to view the encrypted file before it expires.
1	Unusual activity detected on your card A transaction of 750 was attempted on your card. If you did not authorise this click here immediately to cancel and secure your account.
1	Urgent wire transfer request I need you to process an urgent payment to a new supplier today. Keep this confidential and confirm once the transfer has been completed. Sending details shortly.
1	Your subscription payment failed We were unable to charge your card. Update your payment method within 24 hours or you will lose access to all your files permanently.
1	Verify your account to continue using our service Due to recent policy changes all users must revalidate their login credentials. Unverified accounts will be closed without further notice.
1	Final warning account termination This is the final notice regarding your account. Immediate action is required or all your data will be permanently deleted within 24 hours.
1	Your email account will be deactivated Your webmail subscription expires today. Reactivate now by confirming your username and password to prevent loss of all messages.
1	Claim your refund now Your recent order was cancelled and a refund is waiting. Confirm your card details on the secure page to receive the money back immediately.
1	Suspicious login blocked verify now We blocked a login attempt from an unknown location. Confirm your identity within the next hour or your account will remain restricted.
1	Update your delivery address to receive parcel Your shipment is on hold because of an invalid address. Update your information and pay the small redelivery fee to release the package.
1	HR notice review your updated salary Please review the attached updated compensation document and sign in with your work account to acknowledge receipt before the deadline today.
1	Your cloud storage payment declined Payment for your storage plan failed. Confirm your billing information immediately or your files will be deleted within 24 hours.
1	Immediate attention required unusual charge detected We detected an unauthorised charge on your account. Verify your identity urgently to dispute this transaction and secure your funds.
1	Reactivate your online banking access Your access has been restricted following a routine security review. Provide your account number and PIN to restore full banking services now.
1	You have 3 undelivered messages Our mail server could not deliver 3 messages to your inbox. Sign in to release them before they are permanently removed from the queue.
1	Confirm your payment information Your recent transaction requires verification. Enter your card number and security code on our secure page to complete the process immediately.
1	Your account will be closed today Failure to verify your details has resulted in a pending closure. Click the link immediately to keep your account active and avoid data loss.
1	Attention required regarding your recent order There was a problem processing your order. Confirm your payment details urgently or your order will be cancelled without refund.
1	Verify your identity for security purposes As part of our ongoing security upgrade you must reconfirm your login credentials. Accounts not confirmed will be locked automatically.
1	Important message from your bank We need to verify some information on your account. Please log in using the link provided and confirm your personal details immediately.
1	Your device is infected act now Our security scan detected malware on your computer. Download the attached removal tool and run it immediately to protect your data.
1	One time password request confirm now A request was made to reset your password. If this was not you confirm your account immediately using the secure verification link below.
1	Payroll update action required Your direct deposit information needs to be reconfirmed before the next pay cycle. Log in with your employee credentials to update your bank details.
1	Your domain is about to expire Your domain registration expires today. Renew immediately using the payment link to avoid losing your website and email services permanently.
1	Shared invoice awaiting your approval An invoice has been submitted for your approval. Sign in to the portal with your email address and password to review and authorise the payment.
1	Security update mandatory verification All customers must complete mandatory identity verification. Provide your full name date of birth and account number to remain compliant.
0	Weekly team meeting notes Hi everyone thanks for joining the sync today. I have attached the notes and action items from our discussion. Let me know if I missed anything important.
0	Your order has shipped Good news your order is on its way. You can track the delivery using the tracking number in your account. Estimated arrival is Thursday.
0	Pull request review requested A new pull request has been opened in the repository and your review has been requested. You can view the changes and leave comments on the page.
0	Lunch tomorrow Hey are you free for lunch tomorrow around noon. There is a new place near the office I wanted to try. Let me know what works for you.
0	Monthly newsletter product updates Here is what we shipped this month including performance improvements and a redesigned dashboard. Read the full changelog on our blog.
0	Conference schedule confirmation Thank you for registering. Your session schedule is attached. Please arrive fifteen minutes early to collect your badge at the registration desk.
0	Project status update for sprint 14 The team completed twelve of the fifteen planned items this sprint. Remaining work has been carried over. Full report available in the project board.
0	Happy birthday from the team Wishing you a wonderful birthday and a great year ahead. We put together a small card that everyone signed. Enjoy your day.
0	Your subscription renews next month This is a reminder that your annual plan renews on the fifteenth. No action is needed. You can review your plan details anytime in settings.
0	Invitation design review Thursday I have scheduled a design review for Thursday at two in the meeting room. Agenda and mockups are attached for your reference beforehand.
0	Library book due reminder Your borrowed book is due back next Tuesday. You can renew online if you need more time. There are no outstanding fines on your account.
0	New comment on your document Someone left a comment on the document you shared. Open the document to view the discussion thread and reply directly in context.
0	Build pipeline succeeded The build for the main branch completed successfully. All tests passed and the artifacts have been published to the internal registry.
0	Flight booking confirmation Your booking is confirmed. Check-in opens twenty four hours before departure. Your itinerary and seat assignment are included in this message.
0	Quarterly report is now available The quarterly financial report has been published to the shared drive. Please review before the board meeting scheduled for next week.
0	Thanks for your help yesterday Just wanted to say thanks for helping me debug that issue yesterday. The fix worked and the service has been stable since the deployment.
0	Reminder dentist appointment This is a friendly reminder about your appointment next Monday at ten. Please call the office if you need to reschedule at your convenience.
0	Course enrollment confirmed You are now enrolled in the machine learning course starting in September. Materials will be available in the student portal one week before.
0	Welcome to the team We are excited to have you join us. Your first day agenda is attached along with information about parking and building access.
0	Server maintenance scheduled Planned maintenance will take place this Saturday between two and four in the morning. Some services may be briefly unavailable during this window.
0	Feedback on the draft proposal I read through the draft and left some suggestions in the margins. Overall it looks solid. Happy to discuss the details whenever you have time.
0	Receipt for your purchase Thank you for your purchase. Your receipt is attached for your records. If you have questions about your order please reply to this message.
0	Vacation request approved Your time off request for the last week of August has been approved. Please update the shared calendar so the team is aware of your absence.
0	Weekly digest of open issues Here is a summary of open issues assigned to you this week. Three items are marked high priority and two are awaiting your response.
0	Article you might find interesting I came across this article about detection systems and thought of our conversation last week. Worth a read when you have a spare moment.
0	Meeting rescheduled to Friday I need to move our discussion from Wednesday to Friday at the same time. Apologies for the short notice. Let me know if that causes a conflict.
0	Your account settings were updated You successfully updated your notification preferences. If you did not make this change you can review your recent activity in account settings.
0	Photos from the team offsite I uploaded the photos from last weekend to the shared album. Feel free to add any you took as well. It was a great couple of days.
0	Release notes version 2.4 This release includes bug fixes improved logging and support for the new export format. Full details are documented in the release notes page.
0	Survey results are in Thank you to everyone who participated. We received responses from most of the department and the summary is now available for review.
0	Contract draft for review Attached is the draft contract from legal. Please review sections three and seven in particular and send any comments by the end of the week.
0	Reminder timesheet submission A quick reminder to submit your timesheet before Friday. It only takes a few minutes and helps the finance team close the month on time.
0	Question about the API documentation I was reading through the docs and had a question about the pagination behaviour. Do you have a few minutes this week to clarify.
0	Office closed for public holiday The office will be closed on Monday for the public holiday. Normal working hours resume on Tuesday. Enjoy the long weekend everyone.
0	Congratulations on the launch The new feature went live this morning and early feedback has been very positive. Great work from everyone involved in the project.
0	Training session next week There is an optional training session on the new deployment process next Wednesday. Sign up in the internal portal if you would like to attend.
0	Your review has been submitted Thank you for completing the performance review. Your manager will schedule a follow up conversation in the coming weeks to discuss it.
0	Notes from the customer call Attaching my notes from this morning call. The main concerns were around reporting and integration timelines. Happy to walk through them together.
0	Repository access granted You have been added as a collaborator on the repository. You can now clone the project and open pull requests against the development branch.
0	Weekend plans Anyone up for hiking this Saturday. Weather looks good and the trail is about two hours from the city. Let me know if you want to come along.
